WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.84474112100262 -1.266449008169969),1110239836,,drinking_water,,,,,,,,,,,
POINT (36.843436497715494 -1.265115245685388),1110239840,,drinking_water,Waterpoint,,,,,,,,,,
POINT (36.844868771604496 -1.265745709217237),1110239845,,drinking_water,Water Point,,,,,,,,,,
POINT (36.843324118473454 -1.264596145967247),1110239844,,drinking_water,Waterpoint,,,,,,,,,,
POINT (36.843262583876495 -1.26420843768442),1110239865,,drinking_water,Water point,,,,,,,,,,
POINT (36.843807052770195 -1.263998013637333),1110239848,,drinking_water,Waterpoint,,,,,,,,,,
POINT (36.844318194166867 -1.263855844926628),1101638941,,drinking_water,,,,,,,,,,,
POINT (36.849629752778803 -1.265241607832901),1204168038,,drinking_water,Watony,,operational,,3 ksh per 20 ltr,plot,piped_tap,yes,,24/7,private
POINT (36.84923296691781 -1.26403294959853),4502203217,,drinking_water,Mucii Brixton,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849237188999645 -1.263929578668273),4502203215,,drinking_water,Mama Njeri,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849229014330561 -1.263863209319917),4502203203,,drinking_water,Bethsaida,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849274109757822 -1.263904162531016),4502203214,,drinking_water,Mama Njeri,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.84922892449903 -1.263776902221629),4502203206,,drinking_water,Jehu Melchizedek,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849423409758039 -1.263693199601187),4502203210,,drinking_water,Kwa Shosho,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849295399830048 -1.263557137932379),4502203209,,drinking_water,Kwa Murata,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849720123296386 -1.263687182352621),4502203207,,drinking_water,Kwa Maggy,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.850068130637453 -1.263582015214923),4502203208,,drinking_water,Kwa Mama Wambo,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.850058967821553 -1.263546540389547),4502203204,,drinking_water,Bidii Youth Group,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.850750401095745 -1.263751755511906),1100019091,,drinking_water,maji ya mzee,,operational,,3 ksh per 20ltr,public_community,piped_tap,yes,,24/7,private
POINT (36.852302510243646 -1.265823035289432),1038193569,,drinking_water,N.W.S.C Water Point,,non_operationa,,,,piped_tap,,yes,,other
POINT (36.852494390388337 -1.26492529830923),4494090548,yes,drinking_water,,CHE Mathare,,always,,,water_tank,,,,
POINT (36.853558624505425 -1.264951522723228),4494090549,yes,drinking_water,,Kwa kanyos,,often,,,water_tank,,,,
POINT (36.851365118244665 -1.2645479181854),1215759486,yes,drinking_water,,,operational,often,3ksh / 20ltr,,piped_tap,yes,,06:00-20:00,private
POINT (36.851047114634085 -1.264390661482657),1204168041,,drinking_water,MTM Njeri,,operational,,3 ksh per 20 ltr,public_community,piped_tap,,yes,24/7,private
POINT (36.851360716499777 -1.264293487433135),1215759451,,drinking_water,,,operational,,3ksh / 20ltr,,piped_tap,yes,,06:00-22:00,private
POINT (36.851617904165614 -1.264542799035314),4494090545,yes,drinking_water,,,,always,,,piped_tap,,,,
